Copyright and License Notice. Macedonian Learning Cards v0.2<br/>[Set 02 - License],"Rendered documents are distributed under GPL. If you have any questions, please contact the author at nikita [at] pchelin [dot] ca. Project home: https://github.com/jango/macedonian-qcards<br/>[Сет 02 - Лиценца]"
bank<br/>[Set 02 - Nouns],б<b>а</b>нка<br/>[Сет 02 - Именки]
businessman<br/>[Set 02 - Nouns],бизнисм<b>е</b>н<br/>[Сет 02 - Именки]
brother(s)<br/>[Set 02 - Nouns],брат (мн. бр<b>а</b>ќа)<br/>[Сет 02 - Именки]
number(s)<br/>[Set 02 - Nouns],број (мн. бр<b>о</b>еви)<br/>[Сет 02 - Именки]
newspaper<br/>[Set 02 - Nouns],в<b>е</b>сник<br/>[Сет 02 - Именки]
wind<br/>[Set 02 - Nouns],в<b>е</b>т<u>а</u>р (мн. в<b>е</b>трови)<br/>[Сет 02 - Именки]
evening<br/>[Set 02 - Nouns],в<b>е</b>чер (ж)<br/>[Сет 02 - Именки]
year<br/>[Set 02 - Nouns],г<b>о</b>дина<br/>[Сет 02 - Именки]
group<br/>[Set 02 - Nouns],гр<b>у</b>па<br/>[Сет 02 - Именки]
child<br/>[Set 02 - Nouns],д<b>е</b>те<br/>[Сет 02 - Именки]
convenience store<br/>[Set 02 - Nouns],др<b>а</b>гстор<br/>[Сет 02 - Именки]
store<br/>[Set 02 - Nouns],д<b>у</b>ќан<br/>[Сет 02 - Именки]
wife; woman<br/>[Set 02 - Nouns],ж<b>е</b>на<br/>[Сет 02 - Именки]
building<br/>[Set 02 - Nouns],згр<b>а</b>да<br/>[Сет 02 - Именки]
language<br/>[Set 02 - Nouns],ј<b>а</b>зик<br/>[Сет 02 - Именки]
coffee<br/>[Set 02 - Nouns],к<b>а</b>фе<br/>[Сет 02 - Именки]
waiter<br/>[Set 02 - Nouns],к<b>е</b>лнер<br/>[Сет 02 - Именки]
book<br/>[Set 02 - Nouns],кн<b>и</b>га<br/>[Сет 02 - Именки]
Coca-cola<br/>[Set 02 - Nouns],К<b>о</b>ка-к<b>о</b>ла<br/>[Сет 02 - Именки]
house<br/>[Set 02 - Nouns],к<b>у</b>ќа<br/>[Сет 02 - Именки]
bread<br/>[Set 02 - Nouns],леб<br/>[Сет 02 - Именки]
husband; man<br/>[Set 02 - Nouns],маж (мн. мажи)<br/>[Сет 02 - Именки]
museum<br/>[Set 02 - Nouns],муз<b>е</b>ј<br/>[Сет 02 - Именки]
park<br/>[Set 02 - Nouns],парк<br/>[Сет 02 - Именки]
beer<br/>[Set 02 - Nouns],п<b>и</b>во<br/>[Сет 02 - Именки]
pizza<br/>[Set 02 - Nouns],п<b>и</b>ца<br/>[Сет 02 - Именки]
store<br/>[Set 02 - Nouns],прод<b>а</b>вница<br/>[Сет 02 - Именки]
