"[Copyright & License Notice]{LaTeX template is copyrighted by its author and licensed under GPL. Rendered documents and code used to generate them is copyrighted and is distributed under GNU General Public License. If you have any questions, please contact the author at nikita [at] pchelin.ca]",Copyright & License Notice
corner<br>[Set 04 - Nouns],"<span style=""font-weight:600;"">а</span>гол<br>[Сет 04 - Именки]"
baklava (phyllo and nut pastry)<br>[Set 04 - Nouns],"б<span style=""font-weight:600;"">а</span>клава<br>[Сет 04 - Именки]"
banana<br>[Set 04 - Nouns],"бан<span style=""font-weight:600;"">а</span>на<br>[Сет 04 - Именки]"
dinner; supper; evening meal<br>[Set 04 - Nouns],"в<span style=""font-weight:600;"">е</span>чера<br>[Сет 04 - Именки]"
wine<br>[Set 04 - Nouns],"в<span style=""font-weight:600;"">и</span>но<br>[Сет 04 - Именки]"
water<br>[Set 04 - Nouns],"в<span style=""font-weight:600;"">о</span>да<br>[Сет 04 - Именки]"
guest (male/female/plural)<br>[Set 04 - Nouns],"г<span style=""font-weight:600;"">о</span>стин/гост<span style=""font-weight:600;"">и</span>нка (мн. г<span style=""font-weight:600;"">о</span>сти)<br>[Сет 04 - Именки]"
dessert<br>[Set 04 - Nouns],"д<span style=""font-weight:600;"">е</span>серт<br>[Сет 04 - Именки]"
orange<br>[Set 04 - Nouns],"п<span style=""font-weight:600;"">о</span>ртокал<br>[Сет 04 - Именки]"
peach<br>[Set 04 - Nouns],"пр<span style=""font-weight:600;"">а</span>ска<br>[Сет 04 - Именки]"
appetizers<br>[Set 04 - Nouns],"предј<span style=""font-weight:600;"">а</span>дење<br>[Сет 04 - Именки]"
problem<br>[Set 04 - Nouns],"пр<span style=""font-weight:600;"">о</span>блем<br>[Сет 04 - Именки]"
butter<br>[Set 04 - Nouns],"п<span style=""font-weight:600;"">у</span>тер<br>[Сет 04 - Именки]"
fish<br>[Set 04 - Nouns],"р<span style=""font-weight:600;"">и</span>ба<br>[Сет 04 - Именки]"
rose<br>[Set 04 - Nouns],"р<span style=""font-weight:600;"">о</span>за<br>[Сет 04 - Именки]"
lunch<br>[Set 04 - Nouns],"р<span style=""font-weight:600;"">у</span>чек<br>[Сет 04 - Именки]"
salad<br>[Set 04 - Nouns],"с<span style=""font-weight:600;"">а</span>лата<br>[Сет 04 - Именки]"
traffic light<br>[Set 04 - Nouns],"с<span style=""font-weight:600;"">е</span>мафор<br>[Сет 04 - Именки]"
family<br>[Set 04 - Nouns],"с<span style=""font-weight:600;"">е</span>мејство<br>[Сет 04 - Именки]"
cheese<br>[Set 04 - Nouns],"с<span style=""font-weight:600;"">и</span>рење<br>[Сет 04 - Именки]"
grilled meat<br>[Set 04 - Nouns],"ск<span style=""font-weight:600;"">а</span>ра<br>[Сет 04 - Именки]"
ice cream<br>[Set 04 - Nouns],"сл<span style=""font-weight:600;"">а</span>долед<br>[Сет 04 - Именки]"
salt<br>[Set 04 - Nouns],сол (ж)<br>[Сет 04 - Именки]
spinach<br>[Set 04 - Nouns],"сп<span style=""font-weight:600;"">а</span>наќ<br>[Сет 04 - Именки]"
magazine<br>[Set 04 - Nouns],"спис<span style=""font-weight:600;"">а</span>ние<br>[Сет 04 - Именки]"
soup<br>[Set 04 - Nouns],"с<span style=""font-weight:600;"">у</span>па<br>[Сет 04 - Именки]"
baked bean casserole<br>[Set 04 - Nouns],"т<span style=""font-weight:600;"">а</span>вче гр<span style=""font-weight:600;"">а</span>вче<br>[Сет 04 - Именки]"
telephone<br>[Set 04 - Nouns],"телеф<span style=""font-weight:600;"">о</span>н<br>[Сет 04 - Именки]"
cake<br>[Set 04 - Nouns],"т<span style=""font-weight:600;"">о</span>рта<br>[Сет 04 - Именки]"
Turkish coffee<br>[Set 04 - Nouns],"т<span style=""font-weight:600;"">у</span>рско к<span style=""font-weight:600;"">а</span>фе<br>[Сет 04 - Именки]"
tomato<br>[Set 04 - Nouns],"д<span style=""font-weight:600;"">о</span>мат<br>[Сет 04 - Именки]"
cereal<br>[Set 04 - Nouns],"жит<span style=""font-weight:600;"">а</span>рици<br>[Сет 04 - Именки]"
vegetables<br>[Set 04 - Nouns],"з<span style=""font-weight:600;"">е</span>ленчук<br>[Сет 04 - Именки]"
idea<br>[Set 04 - Nouns],"ид<span style=""font-weight:600;"">е</span>ја<br>[Сет 04 - Именки]"
apple<br>[Set 04 - Nouns],"ј<span style=""font-weight:600;"">а</span>болко<br>[Сет 04 - Именки]"
food<br>[Set 04 - Nouns],"ј<span style=""font-weight:600;"">а</span>дење<br>[Сет 04 - Именки]"
egg<br>[Set 04 - Nouns],"ј<span style=""font-weight:600;"">а</span>јце<br>[Сет 04 - Именки]"
"liquid, drinkable yogurt<br>[Set 04 - Nouns]","ј<span style=""font-weight:600;"">о</span>гурт<br>[Сет 04 - Именки]"
mineral water<br>[Set 04 - Nouns],"к<span style=""font-weight:600;"">и</span>села в<span style=""font-weight:600;"">о</span>да<br>[Сет 04 - Именки]"
yogurt<br>[Set 04 - Nouns],"к<span style=""font-weight:600;"">и</span>село мл<span style=""font-weight:600;"">е</span>ко<br>[Сет 04 - Именки]"
pickled cabbage<br>[Set 04 - Nouns],"к<span style=""font-weight:600;"">и</span>села з<span style=""font-weight:600;"">е</span>лка<br>[Сет 04 - Именки]"
potato<br>[Set 04 - Nouns],"к<span style=""font-weight:600;"">о</span>мпир<br>[Сет 04 - Именки]"
